Index,State,State URL Slug,Restrictive Category,Current Policies,Abortions Obtained in 2020,"Abortions per 1,000 WORA in 2020",Appx. Number of WORA,Abortion Clinics,Counties without Abortion Providers,% WORA without County Abortion Provider,% WORA Residents Non-US,% WORA Below FPL,% WORA: Hispanic,% WORA: Black,% WORA: White,% WORA: Asian,% WORA: Other,% WORA: 15-17 Years,% WORA: 18-19 Years,% WORA: 20-24 Years,% WORA: 25-29 Years,% WORA: 30-39 Years,% WORA: 40-49 Years,Avg. Distance (mi): 6 Weeks,Avg. Distance (mi): 12 Weeks,Avg. Distance (mi): 14 Weeks,Avg. Distance (mi): 20 Weeks,Avg. Distance (mi): 22 Weeks,Avg. Distance (mi): 24 Weeks,Avg. Distance (mi): 24+ Weeks
13,Illinois,illinois,Protective,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy |State Medicaid funds cover abortion |Private health insurance plans are required to cover abortion |Qualified health care professionals, not solely physicians, can provide abortions",52780,21.3,2900000,25,90,37,16,27,20,15,55,7,4,8,5,14,15,29,28,,7,,10,,26,266
14,Indiana,indiana,Restrictive,Abortion is banned at 22 weeks and later |Patients forced to make two trips—one for in-person counseling and another at least 18 hours later for the abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Private health insurance of abortion is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit | Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals |Medication abortion is restricted through unnecessary regulations |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,7880,6,1500000,6,96,70,7,32,8,11,74,3,4,8,6,16,14,29,27,,23,43,155,,174,235
15,Iowa,iowa,Restrictive,Abortion is banned at 22 weeks and later | Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals,3510,5.9,694000,8,93,58,8,31,8,5,79,3,4,9,6,15,15,29,26,,33,,47,170,229,252
16,Kansas,kansas,Restrictive,Abortion is banned at 22 weeks and later |Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Private health insurance of abortion is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit |Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals |Protections for patients and abortion clinic staff,8190,14.5,644000,4,98,61,9,31,13,5,71,4,6,9,6,16,15,27,27,,30,,,31,330,355
17,Kentucky,kentucky,Restrictive,"""Trigger""� ban on abortion is designed to take effect automatically or by quick state action if Roe is overturned | Abortion is banned at 22 weeks and later |Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion |State Medicaid coverage of abortion care is banned except in very limited circumstances |Private health insurance of abortion is banned except in very limited circumstances |Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit |Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards",4080,4.8,997000,1,99,82,5,35,4,8,81,2,5,8,6,15,14,28,29,99,,118,158,268,,274
18,Louisiana,louisiana,Restrictive,"""Trigger""� ban on abortion is designed to take effect automatically or by quick state action if Roe is overturned | Abortion is banned at 22 weeks and later | State constitution explicitly excludes abortion rights |Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit |Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards",7360,8,100000,4,94,72,5,39,6,35,53,2,5,8,5,14,16,31,26,,,37,71,525,638,673
19,Maine,maine,Protective,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy| State Medicaid funds cover abortion | Private health insurance plans are required to cover abortion | Qualified health care professionals, not solely physicians, can provide abortions | Protections for patients and abortion clinic staff",2370,10.1,270000,16,31,24,5,29,2,2,88,2,6,8,5,14,13,29,31,,12,25,32,,147,321
20,Maryland,maryland,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy| Parental consent or notice is required for a minor's abortion| Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards| State Medicaid funds cover abortion |Protections for patients and abortion clinic staff",30750,25.9,1400000,25,71,29,19,22,12,31,44,8,5,9,5,13,14,31,29,,6,,7,,15,29
21,Massachusetts,massachusetts,Some Restrictions/Protections,"Abortion is banned at 24 weeks and later |Parental consent or notice is required for a minor's abortion |State Medicaid funds cover abortion |Qualified health care professionals, not solely physicians, can provide abortions| Protections for patients and abortion clinic staff",17060,12.2,1600000,19,43,13,20,22,14,7,64,9,5,7,6,15,15,29,26,,8,,9,13,23,180
22,Michigan,michigan,Some Restrictions/Protections,"Pre-Roe abortion ban is still in place and can be enforced if Roe is overturned |Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy |Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion |State Medicaid coverage of abortion care is banned except in very limited circumstances |Private health insurance of abortion is banned except in very limited circumstances |Parental consent or notice is required for a minor's abortion| Only physicians can provide abortions and not other qualified health care professionals |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards |Protections for patients and abortion clinic staff",31510,16.8,2200000,21,87,35,8,32,6,15,70,4,5,9,6,15,15,29,26,,11,,13,,19,26
